center_id,name,floor_key_안내
sihwa,시화나래 조력문화관,1층=floor-0 2층=floor-1 …
chungju,충주다목적댐 물문화관,사이트 층별 주요 시설 순서와 동일
daecheong,대청댐 물문화관,
buan,부안댐 물문화관,
soyang,소양강댐 물문화관,
hantan,한탄강댐 물문화관,
hapcheon,합천댐 물문화관,
worldwater-forum,세계물포럼기념센터,
juam,주암댐 물문화관,
jangheung,장흥댐 물문화관,
yeongju,영주댐 물문화관,
seomjin,섬진강댐 물문화관,
imha,임하댐 물문화관,
gimcheon,김천부항댐 물문화관,
yongdam,용담댐 물문화관,
hangang-yeoju,한강문화관,
namgang,남강댐 물문화관,
miryang,밀양댐 물문화관,
hoengseong,횡성댐 물문화관,
peace-dam,평화의댐 물문화관,
geumgang,금강문화관,
yeongsangang,영산강문화관,
diarc,디아크 문화관,
nakdonggang,낙동강문화관,
